,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone
0,nizhneyansk,555,555,555,555,555,555,555,555,555,555,555
1,nikolskoye,59.7,30.79,12.67,9.54,11.11,13.89,76,4,40,RU,10800
2,faanui,-16.48,-151.75,25.22,24.05,25.22,25.22,77,7.57,0,PF,-36000
3,oxelosund,58.67,17.1,9,6.47,9,9,87,2.6,0,SE,7200
4,ilulissat,69.22,-51.1,11,9.5,11,11,66,0.5,100,GL,-7200
5,busselton,-33.65,115.33,12.93,6.09,11.11,13.89,50,7.56,95,AU,28800
6,petropavlovsk-kamchatskiy,53.05,158.65,18,16.13,18,18,52,2,40,RU,43200
7,stykkisholmur,65.08,-22.73,8.12,6.02,8.12,8.12,80,1.36,2,IS,0
8,bredasdorp,-34.53,20.04,14,14.55,14,14,93,0.5,0,ZA,7200
9,houma,29.6,-90.72,29.42,31.65,28.89,30,70,4.6,1,US,-18000
10,lleida,41.62,0.62,21.7,20.41,20.56,22.22,53,2.6,0,ES,7200
11,port alfred,-33.59,26.89,18.06,14.16,18.06,18.06,46,4.34,0,ZA,7200
12,cape town,-33.93,18.42,11.86,10.65,11,12.22,93,2.1,0,ZA,7200
13,jamestown,42.1,-79.24,22.66,25.7,22,23.33,94,2.1,90,US,-14400
14,lompoc,34.64,-120.46,17.77,13.9,16.67,19.44,72,6.7,0,US,-25200
15,kodiak,57.79,-152.41,19,11.05,19,19,45,10.3,1,US,-28800
16,celestun,20.87,-90.4,27.86,31.04,27.86,27.86,78,3.49,39,MX,-18000
17,rikitea,-23.12,-134.97,19.41,15.64,19.41,19.41,65,6.56,100,PF,-32400
18,yellowknife,62.46,-114.35,18,18.15,18,18,93,3.1,75,CA,-21600
19,nemuro,43.32,145.57,16,15.82,16,16,100,3.1,75,JP,32400
20,barao de melgaco,-16.19,-55.97,26,24.93,26,26,36,1.5,0,BR,-14400
21,tenenkou,14.46,-4.92,32.73,34.19,32.73,32.73,42,1.98,20,ML,0
22,isabela,6.71,121.97,27,32.27,27,27,88,1.5,75,PH,28800
23,pisco,-13.7,-76.22,17.91,15.2,17.78,18,72,5.1,0,PE,-18000
24,pirovskoye,57.63,92.27,12.12,9.94,12.12,12.12,93,3.59,47,RU,25200
25,mataura,-46.19,168.86,3.89,1.16,3.89,3.89,83,1.34,100,NZ,43200
26,ushuaia,-54.8,-68.3,3,-5.62,3,3,59,8.7,100,AR,-10800
27,lagoa,39.05,-27.98,21,21.54,21,21,69,1.58,0,PT,0
28,albany,42.6,-73.97,22.41,25.74,22.22,22.78,91,1.12,47,US,-14400
29,barentsburg,555,555,555,555,555,555,555,555,555,555,555
30,saldanha,-33.01,17.94,10,8.47,10,10,87,1.5,0,ZA,7200
31,carnarvon,-24.87,113.63,14,13.79,14,14,100,2.1,0,AU,28800
32,bluff,-46.6,168.33,3.89,1.16,3.89,3.89,83,1.34,97,NZ,43200
33,khatanga,71.97,102.5,7.98,1.66,7.98,7.98,82,7.45,100,RU,25200
34,saint george,37.1,-113.58,37.43,28.4,36.67,38,12,10.8,1,US,-21600
35,bengkulu,-3.8,102.27,25.11,28.59,25.11,25.11,83,1.76,47,ID,25200
36,hasaki,35.73,140.83,23.73,27.34,22.78,24.44,94,2.1,75,JP,32400
37,torbay,47.67,-52.73,18.08,12.29,17.22,18.89,63,8.7,75,CA,-9000
38,ketchikan,55.34,-131.65,17.61,15.25,17,18,68,4.1,75,US,-28800
39,hobart,-42.88,147.33,9.4,5.79,8,10,75,3.6,75,AU,36000
40,chokurdakh,70.63,147.92,31.98,29.66,31.98,31.98,30,4.3,30,RU,39600
41,hvide sande,56,8.13,8.89,4.56,8.89,8.89,81,4.82,64,DK,7200
42,suntar,62.14,117.63,20.7,19.55,20.7,20.7,61,2.93,0,RU,32400
43,lasa,46.62,10.7,13,12.54,13,13,93,1.5,75,IT,7200
44,bilma,18.69,12.92,32.53,30.44,32.53,32.53,27,3.48,65,NE,3600
45,airai,-8.93,125.41,19.33,16.6,19.33,19.33,41,2.51,41,TL,32400
46,hamilton,39.18,-84.53,25.5,28.18,24.44,26.67,83,3.19,1,US,-14400
47,esperance,-33.87,121.9,14,8.96,14,14,76,7.2,90,AU,28800
48,vaini,-21.2,-175.2,24,24.09,24,24,78,5.1,75,TO,46800
49,kapaa,22.08,-159.32,26,29.91,26,26,88,2.6,75,US,-36000
50,gorontalo,0.54,123.06,27.16,31.29,27.16,27.16,82,2.25,78,ID,28800
51,margate,51.38,1.39,15.69,13.59,14.44,17.22,43,0.89,33,GB,3600
52,port elizabeth,-33.92,25.57,11,10.62,11,11,100,1,20,ZA,7200
53,aykhal,66,111.5,12,9.5,12,12,93,4,90,RU,32400
54,atuona,-9.8,-139.03,26.4,25.09,26.4,26.4,73,7.97,0,PF,-34200
55,taolanaro,555,555,555,555,555,555,555,555,555,555,555
56,jumla,29.27,82.18,16.36,15.58,16.36,16.36,66,1.17,29,NP,20700
57,walvis bay,-22.96,14.51,22,15.84,22,22,25,6.2,0,NA,7200
58,tiksi,71.69,128.87,13.74,12.34,13.74,13.74,78,2.06,58,RU,32400
59,carutapera,-1.2,-46.02,24.46,27.16,24.46,24.46,85,2.69,42,BR,-10800
60,nicolas bravo,18.45,-88.92,29,33.24,29,29,79,3.1,40,MX,-18000
61,cidreira,-30.18,-50.21,18.34,16.33,18.34,18.34,73,4.39,100,BR,-10800
62,qaqortoq,60.72,-46.03,18,7.91,18,18,69,15.4,100,GL,-7200
63,belushya guba,555,555,555,555,555,555,555,555,555,555,555
64,gemena,3.25,19.77,20.85,24.21,20.85,20.85,97,0.72,100,CD,3600
65,igarka,67.47,86.58,14.77,10.04,14.77,14.77,57,5.55,59,RU,25200
66,makakilo city,21.35,-158.09,27.7,29.96,27,28,69,3.1,90,US,-36000
67,camocim,-2.9,-40.84,25.06,24.09,25.06,25.06,68,5.83,24,BR,-10800
68,cockburn town,21.46,-71.14,28.57,28.05,28.57,28.57,79,9.53,1,TC,-14400
69,los llanos de aridane,28.66,-17.92,22,20.45,22,22,78,6.2,17,ES,3600
70,longyearbyen,78.22,15.64,7,3.7,7,7,87,3.1,75,SJ,7200
71,thompson,55.74,-97.86,24,24.13,24,24,57,2.1,75,CA,-18000
72,puerto ayora,-0.74,-90.35,20,21.36,20,20,94,2.68,100,EC,-21600
73,port macquarie,-31.43,152.92,18.89,19.46,18.89,18.89,68,0.45,88,AU,36000
74,souillac,-20.52,57.52,21,17.92,21,21,60,5.7,75,MU,14400
75,kenora,49.82,-94.43,25,22.09,25,25,38,4.1,40,CA,-18000
76,talcahuano,-36.72,-73.12,10,7.7,10,10,87,2.6,40,CL,-14400
77,soligalich,59.08,42.29,11.3,10.52,11.3,11.3,97,1.51,85,RU,10800
78,guerrero negro,27.98,-114.06,21.49,17.82,21.49,21.49,73,8.32,0,MX,-21600
79,gizeh,30.01,31.21,25,26.96,25,25,78,3.1,40,EG,7200
80,buraydah,26.33,43.98,35,32.88,35,35,20,2.6,20,SA,10800
81,half moon bay,37.46,-122.43,18.41,18.66,13.33,23.89,87,2.6,90,US,-25200
82,dibulla,11.27,-73.31,26.13,29.89,26.13,26.13,85,2.45,93,CO,-18000
83,bajo baudo,555,555,555,555,555,555,555,555,555,555,555
84,san patricio,19.22,-104.7,30,30.94,30,30,74,7.7,75,MX,-18000
85,tchibanga,-2.85,11.03,18.4,20.49,18.4,18.4,95,0.76,100,GA,3600
86,shimoda,34.67,138.95,24.13,27.96,23.33,25,94,2.1,75,JP,32400
87,barrow,71.29,-156.79,6,1.28,6,6,81,4.6,90,US,-28800
88,marfino,55.7,37.38,12.88,11.04,11,15,87,3,0,RU,10800
89,talnakh,69.49,88.4,9,-0.11,9,9,87,12,0,RU,25200
90,punta arenas,-53.15,-70.92,-2,-6.22,-2,-2,92,2.6,57,CL,-10800
91,balykshi,555,555,555,555,555,555,555,555,555,555,555
92,hilo,19.73,-155.09,24.37,22.97,15,29,58,4.6,1,US,-36000
93,qaanaaq,77.48,-69.36,8.18,5.97,8.18,8.18,55,0.25,0,GL,-10800
94,codrington,-38.27,141.97,9.91,7.76,9.91,9.91,79,1.89,100,AU,36000
95,cacule,-14.5,-42.22,17.72,16.12,17.72,17.72,61,2.39,0,BR,-10800
96,awbari,26.59,12.78,24.07,20.56,24.07,24.07,28,3.25,0,LY,7200
97,charlestown,-32.95,151.67,15.71,15.49,15,16.67,69,0.39,18,AU,36000
98,umzimvubu,555,555,555,555,555,555,555,555,555,555,555
99,tuktoyaktuk,69.45,-133.04,8,2.66,8,8,75,5.7,75,CA,-21600
100,babanusah,555,555,555,555,555,555,555,555,555,555,555
101,namatanai,-3.67,152.43,29.68,31.83,29.68,29.68,67,4.33,21,PG,36000
102,bethel,41.37,-73.41,23.22,23.47,22.78,24.44,88,5.7,90,US,-14400
103,hermanus,-34.42,19.23,12.22,12.31,12.22,12.22,94,0.45,0,ZA,7200
104,dunedin,-45.87,170.5,7.31,3.39,6.11,8.33,58,2.68,5,NZ,43200
105,pemba,-12.97,40.52,21,20.63,21,21,88,5.1,75,MZ,7200
106,college,64.86,-147.8,17,16.23,16,18,59,0.77,75,US,-28800
107,tupelo,34.26,-88.7,28,30.76,28,28,69,2.6,1,US,-18000
108,east london,-33.02,27.91,17.85,13.45,17.85,17.85,33,3.74,0,ZA,7200
109,shetpe,44.17,52.12,21.04,22.02,21.04,21.04,70,1.09,0,KZ,18000
110,koslan,63.46,48.9,17.14,14.97,17.14,17.14,77,4.46,85,RU,10800
111,vikulovo,56.82,70.61,12.65,8.81,12.65,12.65,66,4.32,42,RU,18000
112,phan thiet,10.93,108.1,28.01,32.16,28.01,28.01,72,1.15,100,VN,25200
113,provideniya,64.38,-173.3,10,4.38,10,10,81,7,0,RU,43200
114,abu dhabi,24.47,54.37,33,33.76,33,33,55,6.2,100,AE,14400
115,kamenka,51.32,42.77,16.67,16.73,16.67,16.67,85,1.79,0,RU,10800
116,ocos,14.51,-92.19,28,33.12,28,28,88,2.6,75,GT,-21600
117,lincoln,40.8,-96.67,27.41,27.51,26.67,28.33,58,4.1,1,US,-18000
118,mbandaka,0.05,18.26,22.37,24.69,22.37,22.37,75,0.51,99,CD,3600
119,inuvik,68.35,-133.72,12,8.51,12,12,58,3.1,75,CA,-21600
120,georgetown,5.41,100.34,25.35,30.36,25,26,88,0.5,20,MY,28800
121,kaele,10.11,14.45,22.89,25.13,22.89,22.89,93,3.29,100,CM,3600
122,bikaner,28.02,73.3,31.62,33.09,31.62,31.62,59,5.08,26,IN,19800
123,twin falls,42.56,-114.46,23.43,23.33,21.67,26,64,3.1,20,US,-21600
124,porbandar,21.64,69.61,28.44,30.88,28.44,28.44,80,5.38,100,IN,19800
125,gigmoto,13.78,124.39,30.11,33.69,30.11,30.11,68,2.81,75,PH,28800
126,sandakan,5.84,118.12,26.83,31.58,26.67,27,88,2.1,20,MY,28800
127,hithadhoo,-0.6,73.08,28.48,31.1,28.48,28.48,72,3.69,88,MV,18000
128,necochea,-38.55,-58.74,8.89,-0.09,8.89,8.89,59,10.28,100,AR,-10800
129,stoyba,555,555,555,555,555,555,555,555,555,555,555
130,vestmanna,62.16,-7.17,8,6.55,8,8,93,1.06,100,FO,3600
131,the valley,18.22,-63.06,27.66,28.34,27.22,28,74,6.2,20,AI,-14400
132,port-gentil,-0.72,8.78,24.31,24.55,24.31,24.31,80,5.38,61,GA,3600
133,haguenau,48.82,7.79,16.55,14.99,16,17,63,2.1,0,FR,7200
134,laguna,38.42,-121.42,29.6,25.85,28.89,30.56,28,5.1,1,US,-25200
135,san carlos de bariloche,-41.15,-71.31,-2,-6.32,-2,-2,86,2.6,90,AR,-10800
136,khandyga,62.67,135.6,25.38,25.44,25.38,25.38,40,0.29,0,RU,32400
137,kloulklubed,7.04,134.26,29,34.36,29,29,79,1.5,75,PW,32400
138,darhan,49.49,105.92,21.67,21.13,21.67,21.67,77,4.44,100,MN,28800
139,karratha,-20.74,116.85,23.02,19,23.02,23.02,39,5.19,0,AU,28800
