,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone
0,ambilobe,-13.2,49.05,21.0,21.92,21.0,21.0,70,1.15,94,MG,10800
1,datia,25.67,78.47,33.78,36.28,33.78,33.78,43,1.32,48,IN,19800
2,arraial do cabo,-22.97,-42.03,27.42,25.36,27.0,28.0,61,7.7,50,BR,-10800
3,la paz,-16.5,-68.15,13.0,8.37,13.0,13.0,17,2.1,40,BO,-14400
4,itoman,26.12,127.67,27.93,31.61,27.78,28.0,88,4.6,20,JP,32400
5,vuktyl,63.86,57.31,19.05,16.6,19.05,19.05,56,3.59,13,RU,10800
6,butaritari,3.07,172.79,28.04,29.54,28.04,28.04,77,5.85,2,KI,43200
7,marawi,8.0,124.29,25.0,28.4,25.0,25.0,89,2.68,100,PH,28800
9,hobart,-42.88,147.33,4.5,0.55,2.78,5.56,80,3.1,97,AU,36000
10,cherskiy,68.75,161.3,17.3,15.52,17.3,17.3,65,2.86,29,RU,39600
11,mataura,-46.19,168.86,3.89,1.16,3.89,3.89,83,1.34,92,NZ,43200
12,klaksvik,62.23,-6.59,12.0,9.22,12.0,12.0,81,3.6,28,FO,3600
13,iskateley,67.68,53.15,22.7,21.54,22.7,22.7,65,4.38,3,RU,10800
14,pokhara,28.23,83.98,22.46,24.67,22.46,22.46,81,1.48,98,NP,20700
15,saint-philippe,-21.36,55.77,15.05,11.5,11.67,19.0,59,4.1,75,RE,14400
16,taoudenni,22.68,-3.98,46.41,42.66,46.41,46.41,9,3.99,18,ML,0
17,ushuaia,-54.8,-68.3,4.0,-0.21,4.0,4.0,60,2.6,90,AR,-10800
18,hithadhoo,-0.6,73.08,28.47,32.35,28.47,28.47,69,1.34,99,MV,18000
19,hilo,19.73,-155.09,18.32,17.91,10.0,23.0,78,2.6,75,US,-36000
20,port alfred,-33.59,26.89,17.64,14.74,17.64,17.64,53,3.46,0,ZA,7200
21,punta arenas,-53.15,-70.92,3.46,-3.97,3.0,3.89,76,7.7,75,CL,-10800
22,kapaa,22.08,-159.32,22.99,22.32,21.67,25.0,83,6.2,75,US,-36000
23,panzhihua,26.59,101.71,23.06,25.57,23.06,23.06,77,0.91,100,CN,28800
24,leningradskiy,69.38,178.42,7.68,1.77,7.68,7.68,72,6.29,96,RU,43200
25,alice springs,-23.7,133.88,4.0,0.25,4.0,4.0,64,2.1,0,AU,34200
27,jasper,37.2,-94.35,29.32,32.36,29.0,29.44,66,2.6,20,US,-18000
28,catumbela,-12.43,13.55,25.0,26.79,25.0,25.0,73,2.6,20,AO,3600
29,hamilton,39.18,-84.53,27.08,30.45,25.0,28.89,78,2.6,40,US,-14400
